o_zone_id,d_zone_id,mode_id,cost
103,91,1,0.8772415931597515
103,93,1,2.4760828469612215
103,94,1,1.3049188986523317
103,95,1,1.7922959103465668
103,96,1,1.7942756705721428
103,97,1,1.8130471503735344
103,98,1,1.840352094813935
103,99,1,1.6374717514522372
103,100,1,1.69345679617554
103,102,1,1.4767525882393673
103,105,1,1.5497777821853327
103,106,1,2.280150053360385
103,107,1,2.71136518269912
103,111,1,0.5496874162256401
103,112,1,0.5810401660330146
103,113,1,0.38772164143597476
103,114,1,1.1644005560620239
103,115,1,0.6587324094926227
103,116,1,0.6931251419170948
103,117,1,0.6316981221450143
103,121,1,1.7050518460096338
103,122,1,1.7411285975817068
103,130,1,0.6396027910842779
103,131,1,1.5769422206019683
103,144,1,1.5305090860228423
103,146,1,1.5192689611890595
103,147,1,1.6543229227509422
103,148,1,1.7684228299999651
103,150,1,1.992272760106628
103,151,1,2.858705298056968
103,152,1,1.7867730595306157
103,154,1,1.5937132302683092
103,155,1,1.6750560416071194
103,156,1,1.9008333322977131
103,157,1,2.066142596998504
103,158,1,1.9190236848978914
103,159,1,2.6073993839976994
103,160,1,0.7357250686394956
103,161,1,2.457622908470465
103,162,1,0.6177323232771554
103,163,1,0.722731385781039
103,164,1,0.9254242687552485
103,165,1,0.33319744873231094
103,166,1,0.20476030324764904
103,167,1,0.2957589313454141
103,169,1,0.6875331985583266
103,170,1,2.4217296002775766
103,171,1,2.440625607336371
103,174,1,2.1633466995232298
103,175,1,2.1066265422804205
103,176,1,2.059204420257018
103,177,1,1.7883291592804684
103,178,1,1.8627566461916958
103,180,1,1.4809033182857576
103,181,1,1.8528126760371162
103,182,1,1.7625103293785924
103,183,1,1.7485332828874842
103,184,1,2.5406822320907065
103,186,1,2.0170021773566456
103,187,1,2.332495510027181
103,191,1,0.9120876226545401
103,192,1,0.9818043192950441
103,193,1,2.2952920322594537
103,194,1,1.8701875759517215
103,195,1,1.1717274899404195
103,196,1,1.791627033830639
103,198,1,2.1825538908252544
103,199,1,1.7626144680871842
103,200,1,1.79261412881767
103,201,1,1.89358423911355
103,203,1,1.7955397784517702
103,204,1,1.4649223202524022
103,207,1,1.1513720591316052
103,208,1,0.9897397852979664
103,209,1,2.340436689108579
103,210,1,2.7007751883425155
103,211,1,0.8033555989678113
103,215,1,2.424882951795679
103,216,1,1.9021127048088928
103,217,1,2.1703202259377847
110,1,1,3.0962070755158733
110,2,1,1.9112456856204583
110,3,1,1.9305016166232296
110,4,1,3.3162967287832283
110,5,1,3.3667360703766764
110,6,1,2.3149599297804424
110,7,1,2.382660623853789
110,9,1,1.001460255057974
110,10,1,1.3959031547870555
110,11,1,1.4868839295145835
110,12,1,3.885422180388056
110,13,1,4.000752809714364
110,14,1,1.3459093440478704
110,15,1,1.3839663021797755
110,16,1,1.8774698764045241
110,17,1,2.037271108586661
110,18,1,2.47142267099512
110,19,1,2.5853735918695158
110,22,1,4.162924076795457
